Player,FG%
Jason Myers,83.30%
Matt Gay,80.50%
Brandon Aubrey*+,94.70%
Cairo Santos,92.10%
Greg Zuerlein,92.10%
Justin Tucker*,86.50%
Blake Grupe,81.10%
Brandon McManus,81.10%
Younghoe Koo,86.50%
Dustin Hopkins,91.70%
Harrison Butker,94.30%
Wil Lutz,88.20%
Anders Carlson,81.80%
Cameron Dicker,93.90%
Matt Prater,84.80%
Jake Elliott,93.80%
Evan McPherson,83.90%
Chase McLaughlin,93.50%
Chris Boswell,93.50%
Greg Joseph,80.00%
Daniel Carlson,86.70%
Nick Folk,96.70%
Tyler Bass,82.80%
Eddy Piñeiro,86.20%
Jason Sanders,85.70%
Ka'imi Fairbairn,96.40%
Jake Moody,84.00%
Chad Ryland,64.00%
Joey Slye,79.20%
Brett Maher,73.90%
Lucas Havrisik,75.00%
Riley Patterson,88.90%
Graham Gano,64.70%
Matt Ammendola,66.70%
Mason Crosby,71.40%
Randy Bullock,83.30%
Michael Badgley,100.00%
Austin Seibert,100.00%
Dare Ogunbowale,100.00%
Jamie Gillan,100.00%
Matthew Wright,0.00%
Jack Fox,
Ethan Evans,
Jake Camarda,
Bradley Pinion,
Trenton Gill,
Ty Zentner,
Jake Bailey,
Mitch Wishnowsky,
Thomas Morstead,
Corey Bojorquez,
Kamu Grugier-Hill,
Jordan Stout,
Bryce Baringer,
D'Anthony Bell,
Riley Dixon,
Johnny Hekker,
Cameron Johnston,
Rigoberto Sanchez,
Ryan Wright,